Brand Name,Handle,Niche,Follower Count,Market
Frankies Bikinis,frankiesbikinis,Luxury Swimwear,450000,Global
Solid & Striped,solidandstriped,Contemporary Swimwear,320000,North America
Abysse,abysseswim,Sustainable Swimwear,180000,EU
Hunza G,hunzag,Resort Wear,280000,Global
Jade Swim,jadeswimwear,High Fashion,210000,North America
Lemlem,lemlemshop,Ethical Fashion,160000,Global
Anemos,anemosswim,Beach Luxury,140000,Europe
We Wore What,weworewhatt,Influencer Brand,520000,Global
Mara Hoffman,marahoffman,Designer Beachwear,380000,Global
Solid Swim Co,solidswimco,Affordable Basics,95000,North America
